customer_id,customer_name,phone,email,gender,age,province_code,province_name,member_level,id_card,register_time,updated_at
C000001,胡娟,18855824837,userC000001@163.com,其他,48,150000,内蒙古自治区,钻石会员,220000199604019694,2023-07-20 06:44:47,2025-01-24 18:28:06
C000002,周伟,15975099788,userC000002@163.com,男,68,810000,香港特别行政区,金卡会员,410000196303067006,2021-06-14 15:35:48,2024-11-03 22:01:49
C000003,朱洋,18764658745,userC000003@gmail.com,未知,25,610000,陕西省,金卡会员,450000200612028325,2023-01-03 16:59:13,2024-04-19 12:13:19
C000004,黄静,13650933367,userC000004@outlook.com,男,35,530000,云南省,钻石会员,520000196510129619,2021-02-17 21:34:30,2025-09-06 10:04:03
C000005,朱杰,18980166464,userC000005@qq.com,女,16,640000,宁夏回族自治区,银卡会员,110000198105128385,2024-04-13 09:53:18,2024-06-07 23:20:15
C000006,张磊,19614497649,userC000006@gmail.com,男,63,350000,福建省,普通会员,500000198508170421,2022-06-23 22:08:00,2022-10-08 10:33:44
C000007,孙伟,15403116219,userC000007@outlook.com,未知,55,320000,江苏省,普通会员,530000198307159535,2023-02-03 11:55:21,2023-03-12 12:54:56
C000008,徐明,19306858970,userC000008@gmail.com,女,25,640000,宁夏回族自治区,普通会员,230000196803127524,2025-03-04 10:26:28,2025-04-16 00:57:34
C000009,吴磊,19700214342,userC000009@gmail.com,男,63,210000,辽宁省,普通会员,520000199409131567,2023-06-14 00:02:13,2024-05-21 12:23:36
C000010,朱超,18503181686,userC000010@gmail.com,未知,25,330000,浙江省,普通会员,460000199410044493,2021-04-07 14:18:07,2021-07-06 21:26:11
C000011,吴磊,1830652612,userC000011@qq.com,未知,18,430000,湖南省,钻石会员,460000199607102046,2020-01-09 02:07:29,2024-08-24 22:32:48
C000012,周涛,17577560815,userC000012@163.com,未知,55,440000,广东省,银卡会员,410000198205219121,2024-07-23 04:50:42,2025-01-23 14:38:30
C000013,朱洋,15973135801,userC000013@qq.com,未知,62,500000,重庆市,银卡会员,410000200005287846,2025-07-27 21:23:40,2025-08-03 21:23:53
C000014,赵洋,19570354862,userC000014@example.com,女,64,370000,山东省,银卡会员,220000200203138421,2021-07-17 20:54:14,2025-12-04 19:34:58
C000015,李艳,17336249454,userC000015@gmail.com,女,64,310000,上海市,银卡会员,110000198509215790,2021-12-02 18:56:53,2024-01-11 11:00:42
C000016,朱华,15521028737,userC000016@outlook.com,男,75,630000,未知,银卡会员,540000199203312808,2025-03-07 02:56:52,2025-04-11 02:01:07
C000017,刘华,17749142917,userC000017@example.com,男,65,230000,黑龙江省,普通会员,640000199905098846,2024-10-17 08:22:01,2025-03-26 19:13:21
C000018,孙敏,13059366929,userC000018@163.com,女,20,420000,湖北省,银卡会员,430000200305123672,2022-07-23 12:46:32,2024-06-21 04:17:58
C000019,杨磊,17257987099,userC000019@163.com,女,74,370000,山东省,金卡会员,510000196502043421,2025-06-22 04:58:25,2025-08-25 16:07:20
C000020,孙超,13438935887,userC000020@gmail.com,女,59,440000,广东省,银卡会员,120000196308097634,2024-11-14 15:49:43,2025-01-19 10:51:36
C000021,黄娟,19923974318,userC000021@163.com,未知,18,530000,云南省,普通会员,510000197605317067,2021-06-06 08:30:31,2025-12-11 22:38:06
C000022,徐磊,18117776087,userC000022@gmail.com,女,37,810000,香港特别行政区,钻石会员,450000196012159910,2022-08-19 18:07:51,2025-02-11 19:24:26
C000023,徐明,17409983383,userC000023@example.com,男,64,210000,辽宁省,普通会员,530000198904193610,2025-11-04 15:23:26,2025-12-16 17:23:31
C000024,周秀英,13730070515,userC000024@163.com,女,24,520000,贵州省,银卡会员,340000197503258043,2020-11-29 16:10:22,2023-07-17 16:51:19
C000025,吴娜,18081489882,userC000025@example.com,男,74,630000,青海省,银卡会员,,2024-06-09 05:35:37,2024-10-10 09:48:23
C000026,王军,18809728895,userC000026@outlook.com,男,63,210000,辽宁省,钻石会员,430000196608232932,2021-11-12 16:49:28,2022-06-15 16:15:26
